"order_id","customer_id","order_date","product_id","category","quantity","total_amount","discount"
1,561,2023-10-05,65,"Электроника",8,478.28,0.13
2,997,2023-02-20,60,"Продукты",9,447.51,0.21
3,321,2023-03-23,177,"Косметика",10,283.92,0
4,153,2023-02-03,60,"Косметика",9,346,0.47
5,74,2023-07-19,50,"Одежда",7,411.56,0.27
6,228,2023-03-15,172,"Косметика",7,179.69,0.19
7,146,2023-01-16,161,"Электроника",1,146.38,0.36
8,634,2023-08-08,194,"Продукты",7,312.43,0
9,49,2023-03-16,36,"Косметика",6,138.54,0.17
10,128,2023-04-23,81,"Одежда",6,134.82,0.22
11,303,2023-02-25,194,"Продукты",2,429.96,0.06
12,24,2023-01-06,98,"Одежда",9,46.36,0.02
13,839,2023-08-28,125,"Электроника",3,83.78,0.06
14,356,2023-05-29,199,"Косметика",3,113.24,0.03
15,601,2023-10-13,156,"Косметика",8,376.88,0.47
16,165,2023-07-07,75,"Электроника",3,492.6,0.12
17,622,2023-03-09,65,"Электроника",7,90.4,0.04
18,532,2023-07-08,40,"Косметика",1,322.78,0.33
19,410,2023-10-06,161,"Одежда",5,410.05,0.01
20,882,2023-01-29,191,"Продукты",10,428.12,0.32
21,879,2023-06-25,17,"Косметика",5,356.39,0.49
22,899,2023-07-22,36,"Одежда",6,166.23,0.37
23,297,2024-01-01,52,"Книги",7,178.62,0.32
24,601,2023-05-15,59,"Книги",7,326.01,0.43
25,283,2023-07-22,73,"Электроника",4,169.97,0.27
26,932,2023-09-28,127,"Электроника",9,464.01,0.16
27,997,2023-06-15,3,"Косметика",5,147.09,0.05
28,991,2023-04-10,109,"Косметика",4,73.28,0.2
29,621,2023-05-23,108,"Электроника",8,87.72,0.25
30,517,2023-03-31,189,"Книги",8,265.65,0.31
31,212,2023-03-23,109,"Одежда",7,472.39,0.43
32,930,2023-08-10,13,"Продукты",8,406.65,0.42
33,860,2023-02-27,28,"Косметика",3,412.52,0.46
34,872,2023-02-27,21,"Косметика",7,100.78,0.1
35,259,2023-06-11,69,"Косметика",10,134.89,0.32
36,314,2023-02-12,112,"Косметика",7,461.15,0.27
37,481,2023-07-03,176,"Продукты",7,373.96,0.46
38,298,2023-01-27,36,"Книги",3,291.96,0.38
39,24,2023-02-10,16,"Одежда",6,111.65,0.09
40,158,2023-01-02,163,"Электроника",2,309.1,0.35
41,299,2023-12-17,116,"Продукты",6,44.12,0.26
42,911,2023-06-15,34,"Книги",7,35.61,0.24
43,406,2023-01-04,137,"Одежда",7,408.7,0.17
44,314,2023-06-21,120,"Одежда",6,132.18,0.41
45,648,2023-01-06,54,"Электроника",1,262.87,0.41
46,292,2023-09-03,173,"Продукты",7,283.13,0.35
47,836,2023-03-06,29,"Одежда",6,44.27,0.18
48,982,2023-07-28,143,"Электроника",5,87.75,0.29
49,146,2023-04-25,191,"Одежда",5,385.87,0.18
50,621,2023-10-26,88,"Электроника",9,360.38,0.06
51,348,2023-10-28,107,"Одежда",8,357.32,0.16
52,197,2023-03-26,136,"Косметика",8,412.99,0.39
53,516,2023-12-24,9,"Продукты",6,248.16,0.16
54,226,2023-09-05,40,"Книги",2,38.58,0.12
55,504,2023-05-13,11,"Электроника",5,41.75,0.2
